order_id,order_date,customer_id,product_id,quantity,status,payment_method
90001,2026-02-01,1001,501,1,Completed,UPI
90002,2026-02-01,1002,502,2,Completed,Card
90003,2026-02-02,1003,504,1,Completed,Card
90004,2026-02-02,1004,505,2,Completed,UPI
90005,2026-02-03,1005,506,1,Completed,NetBanking
90006,2026-02-03,1006,503,1,Completed,UPI
90007,2026-02-04,1007,510,2,Completed,Card
90008,2026-02-05,1008,507,3,Completed,UPI
90009,2026-02-05,1009,501,1,Completed,Card
90010,2026-02-06,1010,509,2,Completed,UPI
90011,2026-02-07,1011,502,4,Completed,Card
90012,2026-02-08,1012,508,2,Completed,UPI
90013,2026-02-09,1001,505,1,Completed,Card
90014,2026-02-10,1002,503,2,Completed,UPI
90015,2026-02-11,1003,506,1,Cancelled,Card
90016,2026-02-12,1004,504,1,Completed,NetBanking
90017,2026-02-13,1005,502,3,Completed,UPI
90018,2026-02-14,1006,510,1,Completed,Card
90019,2026-02-15,1007,501,1,Completed,Card
90020,2026-02-16,1008,509,2,Completed,UPI
90021,2026-02-17,1009,507,2,Completed,Card
90022,2026-02-18,1010,505,1,Completed,UPI
90023,2026-02-19,1011,508,3,Completed,Card
90024,2026-02-20,1012,502,2,Completed,UPI
